arquivo,tipo,piso_s,iteracoes,tempo_total_s,tempo_ms_por_chamada,status
binary_search.py,recursivo,1.0,456490,1.0004,0.0022,ok
binary_search_nonrec.py,nonrec,1.0,77480,1.0001,0.0129,ok
conta.py,recursivo,1.0,492,1.0016,2.0357,ok
conta_nonrec.py,nonrec,1.0,421,1.0113,2.4021,ok
count_bits.py,recursivo,1.0,825976,1.0,0.0012,ok
count_bits_nonrec.py,nonrec,1.0,139238,1.0,0.0072,ok
count_matches.py,recursivo,1.0,543,1.033,1.9024,ok
count_matches_nonrec.py,nonrec,1.0,461,1.0112,2.1934,ok
countdown.py,recursivo,1.0,858,1.008,1.1749,ok
countdown_nonrec.py,nonrec,1.0,763,1.0146,1.3297,ok
factorial.py,recursivo,1.0,84,1.021,12.155,ok
factorial_nonrec.py,nonrec,1.0,73,1.0109,13.8474,ok
fast_pow.py,recursivo,1.0,38764,1.0009,0.0258,ok
fast_pow_nonrec.py,nonrec,1.0,29231,1.0,0.0342,ok
fatorial.py,recursivo,1.0,4191,1.0001,0.2386,ok
fatorial_nonrec.py,nonrec,1.0,1879,1.0023,0.5334,ok
fib_memo.py,recursivo,1.0,199970,1.0,0.005,ok
fib_memo_nonrec.py,nonrec,1.0,1,15.0951,15095.0828,ok
fibonacci.py,recursivo,1.0,78,1.0165,13.0317,ok
fibonacci_nonrec.py,nonrec,1.0,51,1.0195,19.9895,ok
find_first.py,recursivo,1.0,7235,1.0004,0.1383,ok
find_first_nonrec.py,nonrec,1.0,2045,1.0003,0.4891,ok
first_missing.py,recursivo,1.0,1476,1.0027,0.6793,ok
first_missing_nonrec.py,nonrec,1.0,1242,1.0124,0.8151,ok
flatten.py,recursivo,1.0,118587,1.0,0.0084,ok
flatten_nonrec.py,nonrec,1.0,35649,1.0,0.0281,ok
Hannoi.py,recursivo,1.0,1987,1.0038,0.5052,ok
Hannoi_nonrec.py,nonrec,1.0,872,1.0134,1.1622,ok
identical_strings.py,recursivo,1.0,22,1.0359,47.0883,ok
identical_strings_nonrec.py,nonrec,1.0,21,1.0431,49.6733,ok
linear_search.py,recursivo,1.0,489,1.0141,2.0739,ok
linear_search_nonrec.py,nonrec,1.0,398,1.0001,2.5128,ok
manipula_no_expression.py,recursivo,1.0,,,,sem_chamada
manipula_no_expression_nonrec.py,nonrec,1.0,,,,sem_chamada
manipula_no_functiontype.py,recursivo,1.0,722,1.0004,1.3856,ok
manipula_no_functiontype_nonrec.py,nonrec,1.0,386,1.0017,2.5952,ok
manipula_no_interactive.py,recursivo,1.0,1071,1.0004,0.9341,ok
manipula_no_interactive_nonrec.py,nonrec,1.0,431,1.001,2.3226,ok
manipula_no_typeignore.py,recursivo,1.0,1919,1.0002,0.5212,ok
manipula_no_typeignore_nonrec.py,nonrec,1.0,1159,1.0004,0.8631,ok
mdc.py,recursivo,1.0,5584,1.0003,0.1791,ok
mdc_nonrec.py,nonrec,1.0,2056,1.0,0.4864,ok
MergeSort.py,recursivo,1.0,794,1.0004,1.2599,ok
MergeSort_nonrec.py,nonrec,1.0,479,1.0018,2.0914,ok
non_negative_int_contain_digit.py,recursivo,1.0,2219,1.0002,0.4507,ok
non_negative_int_contain_digit_nonrec.py,nonrec,1.0,1243,1.0007,0.8051,ok
NumSearchTree.py,recursivo,1.0,16,1.0438,65.2376,ok
NumSearchTree_nonrec.py,nonrec,1.0,3,1.3941,464.6924,ok
output_count_bits.py,output,1.0,1016532,1.0,0.001,ok
output_count_matches.py,output,1.0,1160,1.0028,0.8645,ok
output_factorial.py,output,1.0,184,1.0162,5.5231,ok
output_fibonacci.py,output,1.0,210,1.0043,4.7822,ok
output_find_first.py,output,1.0,13475,1.0001,0.0742,ok
output_first_missing.py,output,1.0,1562,1.0137,0.649,ok
output_identical_strings.py,output,1.0,114,1.0039,8.8063,ok
output_linear_search.py,output,1.0,1111,1.1278,1.0152,ok
output_mdc.py,output,1.0,8474,1.0001,0.118,ok
